Latitude,Longitude,TestInfo
39.28596538,-76.57589741,test
39.28596213,-76.58637912,test
39.28596538,-76.57589741,test
39.28235066,-76.57136559,test
39.2831293,-76.57598628,test
39.29129149,-76.5903272,test
39.28865661,-76.59016347,test
39.28460319,-76.59121826,test
39.28628727,-76.64226439,test
39.28734011,-76.60104623,test
39.29164287,-76.61537781,test
39.28811284,-76.62074179,test
39.29119591,-76.63022937,test
39.29395767,-76.60160474,test
39.29777874,-76.60198884,test
39.29471291,-76.5793166,test
39.29342614,-76.58763128,test
39.29342614,-76.58763128,test
39.29342614,-76.58763128,test
39.29471291,-76.5793166,test
39.29763507,-76.58515914,test
39.29763507,-76.58515914,test
39.30026577,-76.57494983,test
39.32689275,-76.5795581,test
39.32689275,-76.5795581,test
39.31653188,-76.57308921,test
39.31278561,-76.59524831,test
39.31278561,-76.59524831,test
39.30627441,-76.59821397,test
39.30627441,-76.59821397,test
39.30523544,-76.58401491,test
39.30714673,-76.58707268,test
39.30797263,-76.58000897,test
39.30894803,-76.58101894,test
39.34159511,-76.60780537,test
39.33722316,-76.6075275,test
39.3298657,-76.60371112,test
39.3298657,-76.60371112,test
39.33280022,-76.58900646,test
39.33280022,-76.58900646,test
39.32740179,-76.58669089,test
39.32137159,-76.59472607,test
39.32037618,-76.60151876,test
39.32682955,-76.60930483,test
39.32037618,-76.60151876,test
39.32137159,-76.59472607,test
39.31306848,-76.60535516,test
39.31306848,-76.60535516,test
39.30841385,-76.59977905,test
39.30284844,-76.60486744,test
39.29932862,-76.5991928,test
39.29909349,-76.60508149,test
39.30284844,-76.60486744,test
39.30190961,-76.61780608,test
39.30190961,-76.61780608,test
39.30615209,-76.62329881,test
39.30069202,-76.62799962,test
39.30190961,-76.61780608,test
39.29406859,-76.61691805,test
39.30088636,-76.61767713,test
39.33516208,-76.61801574,test
39.33516208,-76.61801574,test
39.32212539,-76.62474149,test
39.32849942,-76.61106235,test
39.32849942,-76.61106235,test
39.32346571,-76.61123456,test
39.32346571,-76.61123456,test
39.31938469,-76.61847209,test
39.32301592,-76.61942981,test
39.31797262,-76.61110357,test
39.31212447,-76.61704526,test
